,version,ihl,tos,len,id,flags,frag,ttl,proto,chksum,src,dst,options,time,sport,dport,seq,ack,dataofs,reserved,flags,window,chksum,urgptr,options,payload,payload_raw,payload_hex
0,4,5,0,236,3170,,0,255,17,6030,172.20.10.1,224.0.0.251,0,1651735048.090154,5353,5353,,,,,,,925,,,208,b'\x00\x00\x84\x00\x00\x00\x00\x04\x00\x00\x00\x00\x07_rdlink\x04_tcp\x05local\x00\x00\x0c\x00\x01\x00\x00\x00\x00\x00\x0f\x0cvansonlyvans\xc0\x0c\x0cvansonlyvans\x0c_device-info\xc0\x14\x00\x10\x00\x01\x00\x00\x00\x00\x00\x0c\x0bmodel=D79AP\x08903907c4\x04_sub\x0e_apple-mobdev2\xc0\x14\x00\x0c\x00\x01\x00\x00\x00\x00\x00.+e8:7f:95:b6:76:4b@fe80::ea7f:95ff:feb6:764b\xc0y\xc0y\x00\x0c\x00\x01\x00\x00\x00\x00\x00\x02\xc0\x94',b'000084000000000400000000075f72646c696e6b045f746370056c6f63616c00000c000100000000000f0c76616e736f6e6c7976616e73c00c0c76616e736f6e6c7976616e730c5f6465766963652d696e666fc0140010000100000000000c0b6d6f64656c3d4437394150083930333930376334045f7375620e5f6170706c652d6d6f6264657632c014000c000100000000002e2b65383a37663a39353a62363a37363a346240666538303a3a656137663a393566663a666562363a37363462c079c079000c0001000000000002c094'
1,4,5,0,339,62048,,0,255,17,12584,172.20.10.1,224.0.0.251,0,1651735049.319627,5353,5353,,,,,,,20356,,,311,"b'\x00\x00\x84\x00\x00\x00\x00\x03\x00\x00\x00\x04\x011\x0210\x0220\x03172\x07in-addr\x04arpa\x00\x00\x0c\x80\x01\x00\x00\x00x\x00\x14\x0cvansonlyvans\x05local\x00\x014\x016\x01C\x012\x01B\x016\x01E\x01F\x01F\x01F\x015\x019\x01F\x017\x018\x01E\x010\x010\x010\x010\x010\x010\x010\x010\x010\x010\x010\x010\x010\x018\x01E\x01F\x03ip6\xc0 \x00\x0c\x80\x01\x00\x00\x00x\x00\x02\xc00\x01B\x01C\x01C\x015\x01B\x018\x01D\x019\x015\x014\x01B\x01F\x01D\x013\x014\x010\x013\x019\x01C\x010\x015\x01B\x013\x013\x010\x010\x019\x014\x011\x010\x014\x012\xc0\x84\x00\x0c\x80\x01\x00\x00\x00x\x00\x02\xc00\xc0\x0c\x00/\x80\x01\x00\x00\x00x\x00\x06\xc0\x0c\x00\x02\x00\x08\xc0D\x00/\x80\x01\x00\x00\x00x\x00\x06\xc0D\x00\x02\x00\x08\xc0\x96\x00/\x80\x01\x00\x00\x00x\x00\x06\xc0\x96\x00\x02\x00\x08\x00\x00)\x05\xa0\x00\x00\x11\x94\x00\x12\x00\x04\x00\x0e\x00\x86>H\xb7\xa12S\xea\x7f\x95k,d'",b'00008400000000030000000401310231300232300331373207696e2d61646472046172706100000c80010000007800140c76616e736f6e6c7976616e73056c6f63616c000134013601430132014201360145014601460146013501390146013701380145013001300130013001300130013001300130013001300130013001380145014603697036c020000c8001000000780002c03001420143014301350142013801440139013501340142014601440133013401300133013901430130013501420133013301300130013901340131013001340132c084000c8001000000780002c030c00c002f8001000000780006c00c00020008c044002f8001000000780006c04400020008c096002f8001000000780006c0960002000800002905a00000119400120004000e00863e48b7a13253ea7f956b2c64'
2,4,5,0,138,56588,,0,255,17,18245,172.20.10.1,224.0.0.251,0,1651735049.330253,5353,5353,,,,,,,49469,,,110,"b'\x00\x00\x00\x00\x00\x03\x00\x00\x00\x00\x00\x01\x02lb\x07_dns-sd\x04_udp\x05local\x00\x00\x0c\x80\x01\x0f_companion-link\x04_tcp\xc0\x1c\x00\x0c\x80\x01\x08_homekit\xc07\x00\x0c\x80\x01\x00\x00)\x05\xa0\x00\x00\x11\x94\x00\x12\x00\x04\x00\x0e\x00\x86>H\xb7\xa12S\xea\x7f\x95k,d'",b'000000000003000000000001026c62075f646e732d7364045f756470056c6f63616c00000c80010f5f636f6d70616e696f6e2d6c696e6b045f746370c01c000c8001085f686f6d656b6974c037000c800100002905a00000119400120004000e00863e48b7a13253ea7f956b2c64'
3,4,5,0,416,37236,,0,255,17,48297,172.20.10.5,172.20.10.1,0,1651735049.535736,5353,5353,,,,,,,38356,,,388,"b'\x00\x00\x84\x00\x00\x00\x00\x01\x00\x00\x00\x06\x0f_companion-link\x04_tcp\x05local\x00\x00\x0c\x00\x01\x00\x00\x11\x94\x00\x1b\x18Vanshika\xe2\x80\x99s MacBook Air\xc0\x0c\xc02\x00!\x80\x01\x00\x00\x00x\x00\x1e\x00\x00\x00\x00\xc0\x0f\x15Vanshikas-MacBook-Air\xc0!\xc02\x00\x10\x80\x01\x00\x00\x11\x94\x00^\x16rpBA=0F:5D:B5:C8:C8:CE\x11rpAD=e51e6b6633e9\x0crpFl=0x20040\x11rpHN=446e3f9a4d59\x07rpMac=0\rrpVr=340.19.1\x18Vanshika\xe2\x80\x99s MacBook Air\x0c_device-info\xc0\x1c\x00\x10\x00\x01\x00\x00\x11\x94\x00)\x14model=MacBookAir10,1\nosxvers=21\x08icolor=3\xc0_\x00\x1c\x80\x01\x00\x00\x00x\x00\x10\xfe\x80\x00\x00\x00\x00\x00\x00\x10<\xa0\xe2\xe9b\x0cc\xc0_\x00\x01\x80\x01\x00\x00\x00x\x00\x04\xac\x14\n\x05\xc0_\x00\x1c\x80\x01\x00\x00\x00x\x00\x10$\x01I\x003\xb5\x0c\x93\x0c\xa1\x84b\x83\xa5\xb0\xee'",b'0000840000000001000000060f5f636f6d70616e696f6e2d6c696e6b045f746370056c6f63616c00000c000100001194001b1856616e7368696b61e2809973204d6163426f6f6b20416972c00cc0320021800100000078001e00000000c00f1556616e7368696b61732d4d6163426f6f6b2d416972c021c0320010800100001194005e16727042413d30463a35443a42353a43383a43383a434511727041443d6535316536623636333365390c7270466c3d30783230303430117270484e3d3434366533663961346435390772704d61633d300d727056723d3334302e31392e311856616e7368696b61e2809973204d6163426f6f6b204169720c5f6465766963652d696e666fc01c00100001000011940029146d6f64656c3d4d6163426f6f6b41697231302c310a6f7378766572733d32310869636f6c6f723d33c05f001c8001000000780010fe80000000000000103ca0e2e9620c63c05f00018001000000780004ac140a05c05f001c80010000007800102401490033b50c930ca1846283a5b0ee'
4,4,5,0,302,20810,,0,255,17,53859,172.20.10.1,224.0.0.251,0,1651735049.696626,5353,5353,,,,,,,55184,,,274,"b'\x00\x00\x00\x00\x00\x03\x00\x00\x00\x05\x00\x01\x0cvansonlyvans\x07_rdlink\x04_tcp\x05local\x00\x00\xff\x80\x01+e8:7f:95:b6:76:4b@fe80::ea7f:95ff:feb6:764b\x0e_apple-mobdev2\xc0!\x00\xff\x80\x01\x0cvansonlyvans\xc0&\x00\xff\x80\x01\xc0\x0c\x00!\x00\x01\x00\x00\x00x\x00\x08\x00\x00\x00\x00\xc0\x00\xc0r\xc01\x00!\x00\x01\x00\x00\x00x\x00\x08\x00\x00\x00\x00~\xf2\xc0r\xc0r\x00\x01\x00\x01\x00\x00\x00x\x00\x04\xac\x14\n\x01\xc0r\x00\x1c\x00\x01\x00\x00\x00x\x00\x10\xfe\x80\x00\x00\x00\x00\x00\x00\xe8\x7f\x95\xff\xfek,d\xc0r\x00\x1c\x00\x01\x00\x00\x00x\x00\x10$\x01I\x003\xb5\x0c\x93\x04=\xfbE\x9d\x8b\\\xcb\x00\x00)\x05\xa0\x00\x00\x11\x94\x00\x12\x00\x04\x00\x0e\x00\x86>H\xb7\xa12S\xea\x7f\x95k,d'",b'0000000000030000000500010c76616e736f6e6c7976616e73075f72646c696e6b045f746370056c6f63616c0000ff80012b65383a37663a39353a62363a37363a346240666538303a3a656137663a393566663a666562363a373634620e5f6170706c652d6d6f6264657632c02100ff80010c76616e736f6e6c7976616e73c02600ff8001c00c0021000100000078000800000000c000c072c03100210001000000780008000000007ef2c072c07200010001000000780004ac140a01c072001c0001000000780010fe80000000000000e87f95fffe6b2c64c072001c00010000007800102401490033b50c93043dfb459d8b5ccb00002905a00000119400120004000e00863e48b7a13253ea7f956b2c64'
5,4,5,0,302,35041,,0,255,17,39628,172.20.10.1,224.0.0.251,0,1651735050.240508,5353,5353,,,,,,,22673,,,274,"b'\x00\x00\x00\x00\x00\x03\x00\x00\x00\x05\x00\x01\x0cvansonlyvans\x07_rdlink\x04_tcp\x05local\x00\x00\xff\x00\x01+e8:7f:95:b6:76:4b@fe80::ea7f:95ff:feb6:764b\x0e_apple-mobdev2\xc0!\x00\xff\x00\x01\x0cvansonlyvans\xc0&\x00\xff\x00\x01\xc0\x0c\x00!\x00\x01\x00\x00\x00x\x00\x08\x00\x00\x00\x00\xc0\x00\xc0r\xc01\x00!\x00\x01\x00\x00\x00x\x00\x08\x00\x00\x00\x00~\xf2\xc0r\xc0r\x00\x01\x00\x01\x00\x00\x00x\x00\x04\xac\x14\n\x01\xc0r\x00\x1c\x00\x01\x00\x00\x00x\x00\x10\xfe\x80\x00\x00\x00\x00\x00\x00\xe8\x7f\x95\xff\xfek,d\xc0r\x00\x1c\x00\x01\x00\x00\x00x\x00\x10$\x01I\x003\xb5\x0c\x93\x04=\xfbE\x9d\x8b\\\xcb\x00\x00)\x05\xa0\x00\x00\x11\x94\x00\x12\x00\x04\x00\x0e\x00\x86>H\xb7\xa12S\xea\x7f\x95k,d'",b'0000000000030000000500010c76616e736f6e6c7976616e73075f72646c696e6b045f746370056c6f63616c0000ff00012b65383a37663a39353a62363a37363a346240666538303a3a656137663a393566663a666562363a373634620e5f6170706c652d6d6f6264657632c02100ff00010c76616e736f6e6c7976616e73c02600ff0001c00c0021000100000078000800000000c000c072c03100210001000000780008000000007ef2c072c07200010001000000780004ac140a01c072001c0001000000780010fe80000000000000e87f95fffe6b2c64c072001c00010000007800102401490033b50c93043dfb459d8b5ccb00002905a00000119400120004000e00863e48b7a13253ea7f956b2c64'
6,4,5,0,339,60906,,0,255,17,13726,172.20.10.1,224.0.0.251,0,1651735050.240510,5353,5353,,,,,,,20356,,,311,"b'\x00\x00\x84\x00\x00\x00\x00\x03\x00\x00\x00\x04\x011\x0210\x0220\x03172\x07in-addr\x04arpa\x00\x00\x0c\x80\x01\x00\x00\x00x\x00\x14\x0cvansonlyvans\x05local\x00\x014\x016\x01C\x012\x01B\x016\x01E\x01F\x01F\x01F\x015\x019\x01F\x017\x018\x01E\x010\x010\x010\x010\x010\x010\x010\x010\x010\x010\x010\x010\x010\x018\x01E\x01F\x03ip6\xc0 \x00\x0c\x80\x01\x00\x00\x00x\x00\x02\xc00\x01B\x01C\x01C\x015\x01B\x018\x01D\x019\x015\x014\x01B\x01F\x01D\x013\x014\x010\x013\x019\x01C\x010\x015\x01B\x013\x013\x010\x010\x019\x014\x011\x010\x014\x012\xc0\x84\x00\x0c\x80\x01\x00\x00\x00x\x00\x02\xc00\xc0\x0c\x00/\x80\x01\x00\x00\x00x\x00\x06\xc0\x0c\x00\x02\x00\x08\xc0D\x00/\x80\x01\x00\x00\x00x\x00\x06\xc0D\x00\x02\x00\x08\xc0\x96\x00/\x80\x01\x00\x00\x00x\x00\x06\xc0\x96\x00\x02\x00\x08\x00\x00)\x05\xa0\x00\x00\x11\x94\x00\x12\x00\x04\x00\x0e\x00\x86>H\xb7\xa12S\xea\x7f\x95k,d'",b'00008400000000030000000401310231300232300331373207696e2d61646472046172706100000c80010000007800140c76616e736f6e6c7976616e73056c6f63616c000134013601430132014201360145014601460146013501390146013701380145013001300130013001300130013001300130013001300130013001380145014603697036c020000c8001000000780002c03001420143014301350142013801440139013501340142014601440133013401300133013901430130013501420133013301300130013901340131013001340132c084000c8001000000780002c030c00c002f8001000000780006c00c00020008c044002f8001000000780006c04400020008c096002f8001000000780006c0960002000800002905a00000119400120004000e00863e48b7a13253ea7f956b2c64'
7,4,5,0,302,38968,,0,255,17,35701,172.20.10.1,224.0.0.251,0,1651735050.240576,5353,5353,,,,,,,22673,,,274,"b'\x00\x00\x00\x00\x00\x03\x00\x00\x00\x05\x00\x01\x0cvansonlyvans\x07_rdlink\x04_tcp\x05local\x00\x00\xff\x00\x01+e8:7f:95:b6:76:4b@fe80::ea7f:95ff:feb6:764b\x0e_apple-mobdev2\xc0!\x00\xff\x00\x01\x0cvansonlyvans\xc0&\x00\xff\x00\x01\xc0\x0c\x00!\x00\x01\x00\x00\x00x\x00\x08\x00\x00\x00\x00\xc0\x00\xc0r\xc01\x00!\x00\x01\x00\x00\x00x\x00\x08\x00\x00\x00\x00~\xf2\xc0r\xc0r\x00\x01\x00\x01\x00\x00\x00x\x00\x04\xac\x14\n\x01\xc0r\x00\x1c\x00\x01\x00\x00\x00x\x00\x10\xfe\x80\x00\x00\x00\x00\x00\x00\xe8\x7f\x95\xff\xfek,d\xc0r\x00\x1c\x00\x01\x00\x00\x00x\x00\x10$\x01I\x003\xb5\x0c\x93\x04=\xfbE\x9d\x8b\\\xcb\x00\x00)\x05\xa0\x00\x00\x11\x94\x00\x12\x00\x04\x00\x0e\x00\x86>H\xb7\xa12S\xea\x7f\x95k,d'",b'0000000000030000000500010c76616e736f6e6c7976616e73075f72646c696e6b045f746370056c6f63616c0000ff00012b65383a37663a39353a62363a37363a346240666538303a3a656137663a393566663a666562363a373634620e5f6170706c652d6d6f6264657632c02100ff00010c76616e736f6e6c7976616e73c02600ff0001c00c0021000100000078000800000000c000c072c03100210001000000780008000000007ef2c072c07200010001000000780004ac140a01c072001c0001000000780010fe80000000000000e87f95fffe6b2c64c072001c00010000007800102401490033b50c93043dfb459d8b5ccb00002905a00000119400120004000e00863e48b7a13253ea7f956b2c64'
8,4,5,0,177,7685,,0,255,17,1574,172.20.10.1,224.0.0.251,0,1651735050.462265,5353,5353,,,,,,,9394,,,149,"b""\x00\x00\x00\x00\x00\x03\x00\x01\x00\x00\x00\x01\x02lb\x07_dns-sd\x04_udp\x05local\x00\x00\x0c\x00\x01\x0f_companion-link\x04_tcp\xc0\x1c\x00\x0c\x00\x01\x08_homekit\xc07\x00\x0c\x00\x01\xc0'\x00\x0c\x00\x01\x00\x00\x11\x94\x00\x1b\x18Vanshika\xe2\x80\x99s MacBook Air\xc0'\x00\x00)\x05\xa0\x00\x00\x11\x94\x00\x12\x00\x04\x00\x0e\x00\x86>H\xb7\xa12S\xea\x7f\x95k,d""",b'000000000003000100000001026c62075f646e732d7364045f756470056c6f63616c00000c00010f5f636f6d70616e696f6e2d6c696e6b045f746370c01c000c0001085f686f6d656b6974c037000c0001c027000c000100001194001b1856616e7368696b61e2809973204d6163426f6f6b20416972c02700002905a00000119400120004000e00863e48b7a13253ea7f956b2c64'
9,4,5,0,584,7212,,0,255,17,1640,172.20.10.1,224.0.0.251,0,1651735050.462266,5353,5353,,,,,,,879,,,556,"b'\x00\x00\x84\x00\x00\x00\x00\r\x00\x00\x00\x04\x0cvansonlyvans\x07_rdlink\x04_tcp\x05local\x00\x00\x10\x80\x01\x00\x00\x11\x94\x008\x16rpBA=95:0E:12:D0:CB:7E\x0erpVr=340.19.11\x11rpAD=cb7ef4d1b91d\t_services\x07_dns-sd\x04_udp\xc0&\x00\x0c\x00\x01\x00\x00\x11\x94\x00\x02\xc0\x19\xc0\x19\x00\x0c\x00\x01\x00\x00\x11\x94\x00\x02\xc0\x0c\x0cvansonlyvans\x0c_device-info\xc0!\x00\x10\x00\x01\x00\x00\x11\x94\x00\x0c\x0bmodel=D79AP\xc0\x0c\x00!\x80\x01\x00\x00\x00x\x00\x15\x00\x00\x00\x00\xc0\x00\x0cvansonlyvans\xc0&+e8:7f:95:b6:76:4b@fe80::ea7f:95ff:feb6:764b\x0e_apple-mobdev2\xc0!\x00\x10\x80\x01\x00\x00\x11\x94\x00\x01\x00\xc0o\x00\x0c\x00\x01\x00\x00\x11\x94\x00\x02\xc1!\x08903907c4\x04_sub\xc1!\x00\x0c\x00\x01\x00\x00\x11\x94\x00\x02\xc0\xf5\xc1!\x00\x0c\x00\x01\x00\x00\x11\x94\x00\x02\xc0\xf5\xc0\xf5\x00!\x80\x01\x00\x00\x00x\x00\x08\x00\x00\x00\x00~\xf2\xc0\xe6\xc0\xe6\x00\x01\x80\x01\x00\x00\x00x\x00\x04\xac\x14\n\x01\xc0\xe6\x00\x1c\x80\x01\x00\x00\x00x\x00\x10\xfe\x80\x00\x00\x00\x00\x00\x00\xe8\x7f\x95\xff\xfek,d\xc0\xe6\x00\x1c\x80\x01\x00\x00\x00x\x00\x10$\x01I\x003\xb5\x0c\x93\x04=\xfbE\x9d\x8b\\\xcb\xc0\x0c\x00/\x80\x01\x00\x00\x11\x94\x00\t\xc0\x0c\x00\x05\x00\x00\x80\x00@\xc0\xf5\x00/\x80\x01\x00\x00\x11\x94\x00\t\xc0\xf5\x00\x05\x00\x00\x80\x00@\xc0\xe6\x00/\x80\x01\x00\x00\x00x\x00\x08\xc0\xe6\x00\x04@\x00\x00\x08\x00\x00)\x05\xa0\x00\x00\x11\x94\x00\x12\x00\x04\x00\x0e\x00\x86>H\xb7\xa12S\xea\x7f\x95k,d'",b'000084000000000d000000040c76616e736f6e6c7976616e73075f72646c696e6b045f746370056c6f63616c000010800100001194003816727042413d39353a30453a31323a44303a43423a37450e727056723d3334302e31392e313111727041443d636237656634643162393164095f7365727669636573075f646e732d7364045f756470c026000c0001000011940002c019c019000c0001000011940002c00c0c76616e736f6e6c7976616e730c5f6465766963652d696e666fc0210010000100001194000c0b6d6f64656c3d4437394150c00c0021800100000078001500000000c0000c76616e736f6e6c7976616e73c0262b65383a37663a39353a62363a37363a346240666538303a3a656137663a393566663a666562363a373634620e5f6170706c652d6d6f6264657632c0210010800100001194000100c06f000c0001000011940002c121083930333930376334045f737562c121000c0001000011940002c0f5c121000c0001000011940002c0f5c0f500218001000000780008000000007ef2c0e6c0e600018001000000780004ac140a01c0e6001c8001000000780010fe80000000000000e87f95fffe6b2c64c0e6001c80010000007800102401490033b50c93043dfb459d8b5ccbc00c002f8001000011940009c00c00050000800040c0f5002f8001000011940009c0f500050000800040c0e6002f8001000000780008c0e600044000000800002905a00000119400120004000e00863e48b7a13253ea7f956b2c64'
